id,original_text,disfluent_text,disfluency_type,clean_audio_path,clean_voice,clean_speed,stutter_audio_path,stutter_voice,stutter_speed
00000,I want to eat chicken for dinner tonight.,I-I-I want to um eat chicken for ddd-dinner tonight.,repetition|interjection|prolongation,outputs/audio_clean/00000.wav,cmu_us_ksp_arctic,0.806,outputs/audio_stutter/00000.wav,cmu_us_ksp_arctic,0.888
00001,They want to discuss the new project plan tomorrow.,They want to discuss the new prr-project plan tomorrow.,prolongation,outputs/audio_clean/00001.wav,cmu_us_rms_arctic,0.82,outputs/audio_stutter/00001.wav,cmu_us_jmk_arctic,1.088
00002,I received a long message from an old friend yesterday.,I-I-I received a uh long mmm-message from an old friend yesterday.,prolongation|repetition|interjection,outputs/audio_clean/00002.wav,cmu_us_bdl_arctic,0.793,outputs/audio_stutter/00002.wav,cmu_us_slt_arctic,0.766
00003,Can you tell me what time the meeting starts?,Can you tell me what what time the meeting starts?,repetition,outputs/audio_clean/00003.wav,cmu_us_jmk_arctic,0.859,outputs/audio_stutter/00003.wav,cmu_us_bdl_arctic,1.051
00004,The weather has been really nice this week.,The weather has been re-really nice this week.,repetition,outputs/audio_clean/00004.wav,cmu_us_bdl_arctic,0.849,outputs/audio_stutter/00004.wav,cmu_us_ksp_arctic,1.101
00005,She is planning to move to a new apartment next month.,She-She is planning to like move to a new aaa-apartment next month.,repetition|prolongation|interjection,outputs/audio_clean/00005.wav,cmu_us_slt_arctic,0.86,outputs/audio_stutter/00005.wav,cmu_us_bdl_arctic,0.889
00006,We should really finish this report before Friday.,We should um really-really finish this rrr-report before Friday.,repetition|prolongation|interjection,outputs/audio_clean/00006.wav,cmu_us_awb_arctic,0.753,outputs/audio_stutter/00006.wav,cmu_us_awb_arctic,0.83
00007,He forgot his keys at the office again.,He forgot his keys at the oo-office again.,prolongation,outputs/audio_clean/00007.wav,cmu_us_slt_arctic,0.92,outputs/audio_stutter/00007.wav,cmu_us_rms_arctic,0.858
00008,The train was delayed for almost an hour this morning.,The train was delayed for aaa-almost an hour this morning.,prolongation,outputs/audio_clean/00008.wav,cmu_us_awb_arctic,0.918,outputs/audio_stutter/00008.wav,cmu_us_jmk_arctic,0.94
00009,I think we need to buy more groceries this weekend.,I think we need need to buy more ggg-groceries this weekend.,repetition|prolongation,outputs/audio_clean/00009.wav,cmu_us_clb_arctic,1.174,outputs/audio_stutter/00009.wav,cmu_us_bdl_arctic,0.882
00010,I need to attend the class at nine tomorrow morning.,I-I-I need to ttt-the class at nine tomorrow morning.,repetition|prolongation,outputs/audio_clean/00010.wav,cmu_us_jmk_arctic,1.115,outputs/audio_stutter/00010.wav,cmu_us_bdl_arctic,0.812
00011,She called her brother after finishing work.,She um called her bro-brother after finishing work.,interjection|repetition,outputs/audio_clean/00011.wav,cmu_us_slt_arctic,0.789,outputs/audio_stutter/00011.wav,cmu_us_clb_arctic,1.165
00012,We are planning to watch a movie tonight.,We are planning to wwww-watch a movie tonight.,prolongation,outputs/audio_clean/00012.wav,cmu_us_bdl_arctic,1.193,outputs/audio_stutter/00012.wav,cmu_us_clb_arctic,1.039
00013,He left his wallet on the kitchen table.,He-He um left his wwww-wallet on the kkk-kitchen table.,repetition|interjection|prolongation,outputs/audio_clean/00013.wav,cmu_us_ksp_arctic,0.785,outputs/audio_stutter/00013.wav,cmu_us_ksp_arctic,0.864
00014,I have an important interview next week.,I uh have an im-im- important interview next week.,interjection|repetition,outputs/audio_clean/00014.wav,cmu_us_clb_arctic,1.243,outputs/audio_stutter/00014.wav,cmu_us_awb_arctic,0.866
00015,The students are preparing for their final exams.,The stt-students are ppp-preparing for their fff-final exams.,prolongation|repetition,outputs/audio_clean/00015.wav,cmu_us_jmk_arctic,0.94,outputs/audio_stutter/00015.wav,cmu_us_slt_arctic,1.068
00016,Can you remind me to call the doctor later?,caa-can you remind me to call the doctor later?,prolongation,outputs/audio_clean/00016.wav,cmu_us_clb_arctic,0.831,outputs/audio_stutter/00016.wav,cmu_us_clb_arctic,0.855
00017,We need to clean the house before our guests arrive.,We um need to clean the hh-house before our guests arrive.,interjection|prolongation,outputs/audio_clean/00017.wav,cmu_us_clb_arctic,1.101,outputs/audio_stutter/00017.wav,cmu_us_ksp_arctic,1.074
00018,She ordered a new dress for the wedding.,She ordered a new new dress for the wedding.,repetition,outputs/audio_clean/00018.wav,cmu_us_bdl_arctic,1.067,outputs/audio_stutter/00018.wav,cmu_us_bdl_arctic,1.115
00019,I forgot to charge my phone last night.,I fff-forgot to ch-ch-charge my ppp-phone last night.,prolongation|repetition,outputs/audio_clean/00019.wav,cmu_us_rms_arctic,0.981,outputs/audio_stutter/00019.wav,cmu_us_clb_arctic,1.245
00020,The manager asked us to submit the report today.,The th-the manager um asked us to submit the report today.,repetition|interjection,outputs/audio_clean/00020.wav,cmu_us_ksp_arctic,1.094,outputs/audio_stutter/00020.wav,cmu_us_rms_arctic,1.092
00021,They went to the market to buy some fresh vegetables.,They-they went to the market uh to buy some fresh vvvv-vegetables.,interjection|prolongation|repetition,outputs/audio_clean/00021.wav,cmu_us_awb_arctic,1.134,outputs/audio_stutter/00021.wav,cmu_us_jmk_arctic,0.865
00022,I am looking forward to meeting you tomorrow.,I am loo-ooking forward to meeting you tomorrow.,prolongation,outputs/audio_clean/00022.wav,cmu_us_jmk_arctic,1.153,outputs/audio_stutter/00022.wav,cmu_us_slt_arctic,0.884
00023,He usually takes the bus to college every morning.,He us-usually takes the bus to college every morning.,repetition,outputs/audio_clean/00023.wav,cmu_us_rms_arctic,1.207,outputs/audio_stutter/00023.wav,cmu_us_bdl_arctic,1.188
00024,We should probably leave early to avoid the traffic.,We we should probably um leave early to avoid the traffic.,repetition|interjection,outputs/audio_clean/00024.wav,cmu_us_clb_arctic,0.856,outputs/audio_stutter/00024.wav,cmu_us_slt_arctic,0.948
00025,My sister started a new job at a software company.,My My sister uh started a new job at a sss-software company.,prolongation|repetition|interjection,outputs/audio_clean/00025.wav,cmu_us_ksp_arctic,0.979,outputs/audio_stutter/00025.wav,cmu_us_clb_arctic,0.82
00026,The children were playing outside in the afternoon.,The ch-ch-children were playing outside in the afternoon.,repetition,outputs/audio_clean/00026.wav,cmu_us_ksp_arctic,1.031,outputs/audio_stutter/00026.wav,cmu_us_clb_arctic,1.124
00027,I need to send an email to my professor tonight.,I need to um send an email to my professor tonight.,interjection,outputs/audio_clean/00027.wav,cmu_us_slt_arctic,1.199,outputs/audio_stutter/00027.wav,cmu_us_slt_arctic,0.931
00028,She brought some snacks for everyone in the meeting.,She she brought some sss-snacks for everyone in the meeting.,repetition|prolongation,outputs/audio_clean/00028.wav,cmu_us_rms_arctic,1.005,outputs/audio_stutter/00028.wav,cmu_us_jmk_arctic,1.128
00029,The coffee shop near my house opens at seven.,The th-the coffee shop near my house like ooo-opens at seven.,interjection|repetition|prolongation,outputs/audio_clean/00029.wav,cmu_us_awb_arctic,0.805,outputs/audio_stutter/00029.wav,cmu_us_ksp_arctic,0.83
00030,He has been learning Python for the past few months.,He has um been learning ppp-Python for the past few months.,interjection|prolongation,outputs/audio_clean/00030.wav,cmu_us_ksp_arctic,0.961,outputs/audio_stutter/00030.wav,cmu_us_jmk_arctic,0.942
00031,We decided to have dinner at a restaurant downtown.,We decided to-to have dinner at a restaurant downtown.,repetition,outputs/audio_clean/00031.wav,cmu_us_bdl_arctic,1.248,outputs/audio_stutter/00031.wav,cmu_us_bdl_arctic,0.876
00032,Can you help me carry these boxes upstairs?,Can you help me ccc-carry these boxes upstairs?,prolongation,outputs/audio_clean/00032.wav,cmu_us_bdl_arctic,1.18,outputs/audio_stutter/00032.wav,cmu_us_jmk_arctic,1.09
00033,I have to finish reading this book by Monday.,I have um to-to ffff-finish reading this book by Monday.,repetition|prolongation|interjection,outputs/audio_clean/00033.wav,cmu_us_jmk_arctic,1.091,outputs/audio_stutter/00033.wav,cmu_us_bdl_arctic,1.125
00034,The internet connection has been slow since this morning.,The internet connection has uh been slow-slow since this morning.,repetition|interjection,outputs/audio_clean/00034.wav,cmu_us_awb_arctic,1.07,outputs/audio_stutter/00034.wav,cmu_us_jmk_arctic,0.897
00035,She wants to buy a new phone before her birthday.,She wants to buy a new ppp-phone before her birthday.,prolongation,outputs/audio_clean/00035.wav,cmu_us_rms_arctic,0.977,outputs/audio_stutter/00035.wav,cmu_us_ksp_arctic,1.188
00036,They are planning to travel to Mumbai during the holidays.,They are planning to ttt-travel to Mumbai during the holidays.,prolongation,outputs/audio_clean/00036.wav,cmu_us_clb_arctic,1.236,outputs/audio_stutter/00036.wav,cmu_us_awb_arctic,0.839
00037,I left my headphones inside the car.,I left my headphones-headphones inside the car.,repetition,outputs/audio_clean/00037.wav,cmu_us_jmk_arctic,1.185,outputs/audio_stutter/00037.wav,cmu_us_clb_arctic,1.171
00038,He usually goes for a walk after dinner.,He usually goes for a www-walk after dinner.,prolongation,outputs/audio_clean/00038.wav,cmu_us_bdl_arctic,1.054,outputs/audio_stutter/00038.wav,cmu_us_rms_arctic,0.937
00039,We need to book the tickets before they sell out.,We need to book the-the ttt-tickets before they sell out.,prolongation|repetition,outputs/audio_clean/00039.wav,cmu_us_rms_arctic,1.02,outputs/audio_stutter/00039.wav,cmu_us_awb_arctic,1.211
00040,The teacher gave us a difficult assignment yesterday.,The te-te-teacher gave us a ddd-difficult um assignment yesterday.,interjection|repetition|prolongation,outputs/audio_clean/00040.wav,cmu_us_jmk_arctic,1.049,outputs/audio_stutter/00040.wav,cmu_us_slt_arctic,0.76
00041,I am trying to improve my programming skills this year.,I am trying to improve my ppp-programming skills this year.,prolongation,outputs/audio_clean/00041.wav,cmu_us_clb_arctic,1.189,outputs/audio_stutter/00041.wav,cmu_us_awb_arctic,1.153
00042,She forgot to bring her umbrella when she left home.,She forgot to bring her uuu-umbrella when she left home.,prolongation,outputs/audio_clean/00042.wav,cmu_us_rms_arctic,0.779,outputs/audio_stutter/00042.wav,cmu_us_bdl_arctic,1.223
00043,The flight is scheduled to arrive in the afternoon.,The fl-fl-flight is sss-scheduled uh to arrive in the afternoon.,prolongation|interjection|repetition,outputs/audio_clean/00043.wav,cmu_us_jmk_arctic,1.116,outputs/audio_stutter/00043.wav,cmu_us_awb_arctic,0.785
00044,He asked me to help him with his project.,He as-as-asked me to help him with his ppp-project.,repetition|prolongation,outputs/audio_clean/00044.wav,cmu_us_awb_arctic,1.016,outputs/audio_stutter/00044.wav,cmu_us_rms_arctic,0.814
00045,We should check the weather before going outside.,We sh-sh-should like check the www-weather before going outside.,interjection|repetition|prolongation,outputs/audio_clean/00045.wav,cmu_us_slt_arctic,1.223,outputs/audio_stutter/00045.wav,cmu_us_rms_arctic,0.883
00046,I received an interesting email from my friend this morning.,I received an iii-interesting email from my friend this morning.,prolongation,outputs/audio_clean/00046.wav,cmu_us_awb_arctic,1.053,outputs/audio_stutter/00046.wav,cmu_us_rms_arctic,1.214
00047,They have been waiting for the train for twenty minutes.,They have been waiting um for the train for twenty minutes.,interjection,outputs/audio_clean/00047.wav,cmu_us_awb_arctic,1.115,outputs/audio_stutter/00047.wav,cmu_us_rms_arctic,1.106
00048,Can you tell me where the nearest library is?,Can you te-te-tell me uh where the nearest library is?,interjection|repetition,outputs/audio_clean/00048.wav,cmu_us_slt_arctic,1.248,outputs/audio_stutter/00048.wav,cmu_us_ksp_arctic,0.937
00049,I need to buy some groceries on my way home.,I need to bu-bu-buy some groceries on my way home.,repetition,outputs/audio_clean/00049.wav,cmu_us_bdl_arctic,0.976,outputs/audio_stutter/00049.wav,cmu_us_rms_arctic,0.862
00050,She spent the entire evening working on her presentation.,She sss-spent the entire evening working on her presentation.,prolongation,outputs/audio_clean/00050.wav,cmu_us_clb_arctic,0.761,outputs/audio_stutter/00050.wav,cmu_us_bdl_arctic,0.865
00051,The office will be closed during the holiday.,The the office um will be ccc-closed during the holiday.,interjection|repetition|prolongation,outputs/audio_clean/00051.wav,cmu_us_rms_arctic,0.754,outputs/audio_stutter/00051.wav,cmu_us_ksp_arctic,1.066
00052,He wants to learn how to cook Italian food.,He wants uh to learn how to cook Italian food.,interjection,outputs/audio_clean/00052.wav,cmu_us_rms_arctic,0.784,outputs/audio_stutter/00052.wav,cmu_us_jmk_arctic,1.18
00053,We are meeting our friends at the park this evening.,We we are meeting our friends at the ppp-park this evening.,repetition|prolongation,outputs/audio_clean/00053.wav,cmu_us_jmk_arctic,1.007,outputs/audio_stutter/00053.wav,cmu_us_clb_arctic,1.084
00054,I have never visited that city before.,I I have never like vvv-visited that city before.,interjection|repetition|prolongation,outputs/audio_clean/00054.wav,cmu_us_rms_arctic,1.02,outputs/audio_stutter/00054.wav,cmu_us_ksp_arctic,1.218
00055,The new restaurant opened near our college last month.,The new restaurant um opened near our college last month.,interjection,outputs/audio_clean/00055.wav,cmu_us_bdl_arctic,1.038,outputs/audio_stutter/00055.wav,cmu_us_rms_arctic,1.142
00056,She needs to wake up early for work tomorrow.,She she needs to wake uh up eee-early for work tomorrow.,prolongation|repetition|interjection,outputs/audio_clean/00056.wav,cmu_us_awb_arctic,0.954,outputs/audio_stutter/00056.wav,cmu_us_jmk_arctic,0.798
00057,They decided to start the project next week.,They they decided to like start the ppp-project next week.,repetition|prolongation|interjection,outputs/audio_clean/00057.wav,cmu_us_slt_arctic,0.927,outputs/audio_stutter/00057.wav,cmu_us_slt_arctic,0.984
00058,I think we should discuss this problem together.,I think we should um discuss this problem together.,interjection,outputs/audio_clean/00058.wav,cmu_us_ksp_arctic,0.777,outputs/audio_stutter/00058.wav,cmu_us_ksp_arctic,1.242
00059,He found an old photograph while cleaning his room.,He He found an old uh ppp-photograph while cleaning his room.,prolongation|repetition|interjection,outputs/audio_clean/00059.wav,cmu_us_jmk_arctic,0.78,outputs/audio_stutter/00059.wav,cmu_us_ksp_arctic,0.92
